5;0;abaca;0;0.669315;3
5;0;abaca;1;0.259934;3
5;0;abaca;2;0.000818;5
5;0;abaca;3;0.000063;1
5;0;abats;0;0.106046;3
5;0;abats;1;0.259180;3
5;0;abats;2;0.000724;5
5;0;abats;3;0.000584;2
5;0;abbes;0;0.161994;4
5;0;abbes;1;0.026277;5
5;0;abbes;2;0.000764;7
5;0;abbes;3;0.000627;2
5;0;abces;0;0.161837;3
5;0;abces;1;0.024409;4
5;0;abces;2;0.000901;5
5;0;abces;3;0.000623;2
5;0;abdos;0;0.673228;4
5;0;abdos;1;0.265048;4
5;0;abdos;2;0.000785;5
5;0;abdos;3;0.000617;3
5;0;abeti;0;0.001396;2
5;0;abeti;1;0.007004;3
5;0;abeti;2;0.000641;5
5;0;abeti;3;0.000625;3
5;0;abima;0;0.344002;4
5;0;abima;1;0.264952;4
5;0;abima;2;0.000846;5
5;0;abima;3;0.000600;2
5;0;abime;0;0.018105;4
5;0;abime;1;0.063835;3
5;0;abime;2;0.000724;5
5;0;abime;3;0.000628;4
5;0;aboie;0;0.001436;3
5;0;aboie;1;0.064321;4
5;0;aboie;2;0.000774;4
5;0;aboie;3;0.000633;5
5;0;abois;0;0.021654;3
5;0;abois;1;0.281312;4
5;0;abois;2;0.000770;4
5;0;abois;3;0.000611;4
5;0;aboli;0;0.363654;4
5;0;aboli;1;0.289758;5
5;0;aboli;2;0.000814;5
5;0;aboli;3;0.000594;3
5;0;abord;0;0.174165;4
5;0;abord;1;0.034830;4
5;0;abord;2;0.000952;5
5;0;abord;3;0.000611;4
5;0;about;0;0.113792;3
5;0;about;1;0.279459;4
5;0;about;2;0.000863;5
5;0;about;3;0.000599;5
5;0;abovo;0;0.689773;3
5;0;abovo;1;0.286101;5
5;0;abovo;2;0.000892;6
5;0;abovo;3;0.000615;6
5;0;aboya;0;0.707074;3
5;0;aboya;1;0.264732;4
5;0;aboya;2;0.000843;5
5;0;aboya;3;0.000580;3
5;0;aboye;0;0.091162;3
5;0;aboye;1;0.062030;4
5;0;aboye;2;0.000832;5
5;0;aboye;3;0.000608;4
5;0;abris;0;0.001239;3
5;0;abris;1;0.001268;3
5;0;abris;2;0.000583;3
5;0;abris;3;0.000571;4
5;0;abusa;0;0.699030;3
5;0;abusa;1;0.263081;3
5;0;abusa;2;0.000896;4
